Source,Target,Similarity
Greta - Waited All Your Life,Zeppelin - Your Time Is Gonna Come,0.193
Greta - Waited All Your Life,Zeppelin - Rock and Roll,0.189
Greta - Waited All Your Life,Zeppelin - When the Levee Breaks,0.184
Greta - The Falling Sky,Zeppelin - Thank You,0.185
Greta - The Falling Sky,Zeppelin - What Is and What Should Never Be,0.183
Greta - The Falling Sky,Zeppelin - Communication Breakdown,0.185
Greta - The Falling Sky,Zeppelin - Dazed and Confused,0.186
Greta - The Falling Sky,Zeppelin - Your Time Is Gonna Come,0.191
Greta - The Falling Sky,Zeppelin - Babe I'm Gonna Leave You,0.181
Greta - The Falling Sky,Zeppelin - I Can't Quit You Baby,0.184
Greta - The Falling Sky,Zeppelin - How Many More Times,0.183
Greta - The Falling Sky,Zeppelin - Rock and Roll,0.194
Greta - The Falling Sky,Zeppelin - When the Levee Breaks,0.198
Greta - The Falling Sky,Zeppelin - Since I've Been Loving You,0.188
Greta - The New Day,Zeppelin - Dazed and Confused,0.181
Greta - The New Day,Zeppelin - Your Time Is Gonna Come,0.189
Greta - The New Day,Zeppelin - Rock and Roll,0.19
Greta - The New Day,Zeppelin - When the Levee Breaks,0.188
Greta - The New Day,Zeppelin - Since I've Been Loving You,0.183
Greta - Talk on the Street,Zeppelin - Dazed and Confused,0.182
Greta - Talk on the Street,Zeppelin - Your Time Is Gonna Come,0.184
Greta - Talk on the Street,Zeppelin - I Can't Quit You Baby,0.183
Greta - Talk on the Street,Zeppelin - Rock and Roll,0.188
Greta - Talk on the Street,Zeppelin - When the Levee Breaks,0.191
Greta - Talk on the Street,Zeppelin - Since I've Been Loving You,0.183
Greta - Meet on the Ledge,Zeppelin - Your Time Is Gonna Come,0.187
Greta - Meet on the Ledge,Zeppelin - Rock and Roll,0.186
Greta - Meet on the Ledge,Zeppelin - When the Levee Breaks,0.185
Greta - A Change Is Gonna Come,Zeppelin - Thank You,0.189
Greta - A Change Is Gonna Come,Zeppelin - Heartbreaker,0.181
Greta - A Change Is Gonna Come,Zeppelin - What Is and What Should Never Be,0.182
Greta - A Change Is Gonna Come,Zeppelin - Communication Breakdown,0.185
Greta - A Change Is Gonna Come,Zeppelin - Dazed and Confused,0.187
Greta - A Change Is Gonna Come,Zeppelin - Your Time Is Gonna Come,0.204
Greta - A Change Is Gonna Come,Zeppelin - Good Times Bad Times,0.187
Greta - A Change Is Gonna Come,Zeppelin - Babe I'm Gonna Leave You,0.187
Greta - A Change Is Gonna Come,Zeppelin - I Can't Quit You Baby,0.189
Greta - A Change Is Gonna Come,Zeppelin - How Many More Times,0.188
Greta - A Change Is Gonna Come,Zeppelin - Misty Mountain Hop,0.181
Greta - A Change Is Gonna Come,Zeppelin - Rock and Roll,0.209
Greta - A Change Is Gonna Come,Zeppelin - When the Levee Breaks,0.196
Greta - A Change Is Gonna Come,Zeppelin - Since I've Been Loving You,0.193
Greta - A Change Is Gonna Come,Zeppelin - Out on the Tiles,0.187
Greta - A Change Is Gonna Come,Zeppelin - Celebration Day,0.182
Greta - Highway Tune,Zeppelin - Thank You,0.187
Greta - Highway Tune,Zeppelin - Communication Breakdown,0.185
Greta - Highway Tune,Zeppelin - Dazed and Confused,0.186
Greta - Highway Tune,Zeppelin - Your Time Is Gonna Come,0.19
Greta - Highway Tune,Zeppelin - Good Times Bad Times,0.182
Greta - Highway Tune,Zeppelin - I Can't Quit You Baby,0.182
Greta - Highway Tune,Zeppelin - How Many More Times,0.182
Greta - Highway Tune,Zeppelin - Rock and Roll,0.193
Greta - Highway Tune,Zeppelin - When the Levee Breaks,0.19
Greta - Highway Tune,Zeppelin - Since I've Been Loving You,0.188
Greta - Highway Tune,Zeppelin - Out on the Tiles,0.183
Greta - Safari Song,Zeppelin - When the Levee Breaks,0.182
"Greta - My Way, Soon",Zeppelin - Thank You,0.182
"Greta - My Way, Soon",Zeppelin - Rock and Roll,0.182
"Greta - My Way, Soon",Zeppelin - When the Levee Breaks,0.183
"Greta - My Way, Soon",Zeppelin - Since I've Been Loving You,0.183
